"Index" "XAU.USD"
2013-01-01 1676.24
2013-01-02 1682.61
2013-01-03 1682.065
2013-01-04 1648.505
2013-01-05 1655.825
2013-01-06 1655.77
2013-01-07 1654.07
2013-01-08 1652.52
2013-01-09 1659.68
2013-01-10 1664.09
2013-01-11 1669.03
2013-01-12 1662.875
2013-01-13 1662.875
2013-01-14 1666.99
2013-01-15 1676.115
2013-01-16 1680.545
2013-01-17 1682.02
2013-01-18 1689.085
2013-01-19 1684.41
2013-01-20 1684.395
2013-01-21 1688.965
2013-01-22 1692.18
2013-01-23 1691.45
2013-01-24 1678.22
2013-01-25 1665.605
2013-01-26 1658.78
2013-01-27 1658.77
2013-01-28 1657.895
2013-01-29 1660.93
2013-01-30 1669.65
2013-01-31 1673.08
2013-02-01 1666
2013-02-02 1667.46
2013-02-03 1667.46
2013-02-04 1669
2013-02-05 1674.55
2013-02-06 1673.76
2013-02-07 1676.54
2013-02-08 1670.17
2013-02-09 1667.34
2013-02-10 1667.315
2013-02-11 1660.5
2013-02-12 1647.02
2013-02-13 1648.61
2013-02-14 1643.14
2013-02-15 1624.66
2013-02-16 1610.04
2013-02-17 1610.08
2013-02-18 1612.455
2013-02-19 1610.765
2013-02-20 1596.485
2013-02-21 1569.385
2013-02-22 1579.015
2013-02-23 1581.34
2013-02-24 1581.38
2013-02-25 1586.7
2013-02-26 1598.79
2013-02-27 1607.925
2013-02-28 1592.145
2013-03-01 1577.67
2013-03-02 1576.33
2013-03-03 1576.35
2013-03-04 1577.03
2013-03-05 1578.68
2013-03-06 1577.4
2013-03-07 1581.345
2013-03-08 1577.585
2013-03-09 1578.775
2013-03-10 1578.79
2013-03-11 1579.885
2013-03-12 1587.245
2013-03-13 1591.96
2013-03-14 1587.52
2013-03-15 1592.505
2013-03-16 1592.075
2013-03-17 1592.075
2013-03-18 1602.595
2013-03-19 1606.6
2013-03-20 1610.455
2013-03-21 1610.09
2013-03-22 1611.585
2013-03-23 1608.805
2013-03-24 1608.805
2013-03-25 1605.51
2013-03-26 1600.76
2013-03-27 1600.135
2013-03-28 1602.055
2013-03-29 1596.945
2013-03-30 1596.95
2013-03-31 1596.95
2013-04-01 1598.32
2013-04-02 1592.995
2013-04-03 1568.2
2013-04-04 1550.1
2013-04-05 1559.785
2013-04-06 1581.135
2013-04-07 1581.135
2013-04-08 1576.545
2013-04-09 1577.765
2013-04-10 1578.34
2013-04-11 1560.415
2013-04-12 1540.245
2013-04-13 1483.185
2013-04-14 1483.185
2013-04-15 1423.25
2013-04-16 1368.55
2013-04-17 1378.475
2013-04-18 1381.35
2013-04-19 1402.225
2013-04-20 1403.87
