"Index" "XER.Open" "XER.High" "XER.Low" "XER.Close" "XER.Volume" "XER.Adjusted"
2013-01-01 5.105 5.105 5.105 5.105 0 4.784
2013-01-02 5.115 5.115 5.115 5.115 0 4.794
2013-01-03 5.45 5.45 5.45 5.45 0 5.108
2013-01-04 5.501 5.501 5.501 5.501 0 5.156
2013-01-07 5.43 5.43 5.43 5.43 0 5.089
2013-01-08 5.49 5.49 5.49 5.49 0 5.145
2013-01-09 5.505 5.505 5.505 5.505 0 5.159
2013-01-10 5.527 5.527 5.527 5.527 0 5.18
2013-01-11 5.48 5.48 5.48 5.48 0 5.136
2013-01-14 5.418 5.418 5.418 5.418 0 5.078
2013-01-15 5.523 5.523 5.523 5.523 0 5.176
2013-01-16 5.56 5.56 5.56 5.56 0 5.211
2013-01-17 5.68 5.68 5.68 5.68 0 5.323
2013-01-18 5.649 5.649 5.649 5.649 0 5.294
2013-01-21 5.719 5.719 5.719 5.719 0 5.36
2013-01-22 5.707 5.707 5.707 5.707 0 5.349
2013-01-23 5.64 5.64 5.64 5.64 0 5.286
2013-01-24 5.66 5.66 5.66 5.66 0 5.305
2013-01-25 5.75 5.75 5.75 5.75 0 5.389
2013-01-28 5.88 5.88 5.88 5.88 0 5.511
2013-01-29 6.11 6.11 6.11 6.11 0 5.726
2013-01-30 6.01 6.01 6.01 6.01 0 5.633
2013-01-31 6 6 6 6 0 5.623
2013-02-01 5.88 5.88 5.88 5.88 0 5.511
2013-02-04 5.86 5.86 5.86 5.86 0 5.492
2013-02-05 5.87 5.87 5.87 5.87 0 5.501
2013-02-06 5.88 5.88 5.88 5.88 0 5.511
2013-02-07 5.883 5.883 5.883 5.883 0 5.514
2013-02-08 5.94 5.94 5.94 5.94 0 5.567
2013-02-11 5.92 5.92 5.92 5.92 0 5.548
2013-02-12 5.94 5.94 5.94 5.94 0 5.567
2013-02-13 5.9 5.9 5.9 5.9 0 5.529
2013-02-14 5.94 5.94 5.94 5.94 0 5.567
2013-02-15 5.98 5.98 5.98 5.98 0 5.604
2013-02-18 5.95 5.95 5.95 5.95 0 5.576
2013-02-19 5.94 5.94 5.94 5.94 0 5.567
2013-02-20 5.93 5.93 5.93 5.93 0 5.558
2013-02-21 5.9 5.9 5.9 5.9 0 5.529
2013-02-22 5.94 5.94 5.94 5.94 0 5.567
2013-02-25 6.13 6.13 6.13 6.13 0 5.745
2013-02-26 6.02 6.02 6.02 6.02 0 5.642
2013-02-27 6.11 6.11 6.11 6.11 0 5.726
2013-02-28 6.2 6.2 6.2 6.2 0 5.811
2013-03-01 6.17 6.17 6.17 6.17 0 5.782
2013-03-04 6.26 6.26 6.26 6.26 0 5.867
2013-03-05 6.25 6.25 6.25 6.25 0 5.857
2013-03-06 6.28 6.28 6.28 6.28 0 5.886
2013-03-07 6.52 6.52 6.52 6.52 0 6.111
2013-03-08 6.53 6.53 6.53 6.53 0 6.12
2013-03-11 6.66 6.66 6.66 6.66 0 6.242
2013-03-12 6.62 6.62 6.62 6.62 0 6.204
2013-03-13 6.55 6.55 6.55 6.55 0 6.139
2013-03-14 6.61 6.61 6.61 6.61 0 6.195
2013-03-15 6.66 6.66 6.66 6.66 0 6.242
2013-03-18 6.6 6.6 6.6 6.6 0 6.185
2013-03-19 6.66 6.66 6.66 6.66 0 6.242
2013-03-20 6.67 6.67 6.67 6.67 0 6.251
2013-03-21 6.74 6.74 6.74 6.74 0 6.317
2013-03-22 6.6 6.6 6.6 6.6 0 6.185
2013-03-25 6.62 6.62 6.62 6.62 0 6.204
2013-03-26 6.59 6.59 6.59 6.59 0 6.23
2013-03-27 6.67 6.67 6.67 6.67 0 6.306
2013-03-28 6.63 6.63 6.63 6.63 0 6.268
2013-03-29 6.63 6.63 6.63 6.63 0 6.268
2013-04-01 6.63 6.63 6.63 6.63 0 6.268
2013-04-02 6.7 6.7 6.7 6.7 0 6.334
2013-04-03 6.9 6.9 6.9 6.9 0 6.523
2013-04-04 6.67 6.67 6.67 6.67 0 6.306
2013-04-05 6.67 6.67 6.67 6.67 0 6.306
2013-04-08 6.63 6.63 6.63 6.63 0 6.268
2013-04-09 6.61 6.61 6.61 6.61 0 6.249
2013-04-10 6.69 6.69 6.69 6.69 0 6.325
2013-04-11 6.83 6.83 6.83 6.83 0 6.457
2013-04-12 6.83 6.83 6.83 6.83 0 6.457
2013-04-15 6.9 6.9 6.9 6.9 0 6.523
2013-04-16 6.84 6.84 6.84 6.84 0 6.467
2013-04-17 6.86 6.86 6.86 6.86 0 6.485
2013-04-18 6.81 6.81 6.81 6.81 0 6.438
2013-04-19 6.63 6.63 6.63 6.63 0 6.268
2013-04-22 6.5 6.5 6.5 6.5 0 6.145
2013-04-23 6.57 6.57 6.57 6.57 0 6.211
2013-04-24 6.48 6.48 6.48 6.48 0 6.126
