"Index" "XPD.USD"
2013-01-01 698
2013-01-02 698
2013-01-03 698
2013-01-04 698
2013-01-05 698
2013-01-06 691
2013-01-07 691
2013-01-08 691
2013-01-09 691
2013-01-10 691
2013-01-11 691
2013-01-12 691
2013-01-13 704.413
2013-01-14 704.413
2013-01-15 704.413
2013-01-16 704.413
2013-01-17 704.413
2013-01-18 704.413
2013-01-19 704.413
2013-01-20 722.651
2013-01-21 722.651
2013-01-22 722.651
2013-01-23 722.651
2013-01-24 722.651
2013-01-25 722.651
2013-01-26 722.651
2013-01-27 742.257
2013-01-28 742.257
2013-01-29 742.257
2013-01-30 749.335
2013-01-31 743.785
2013-02-01 756.35
2013-02-02 756.35
2013-02-03 758.05
2013-02-04 758.5
2013-02-05 765.59
2013-02-06 764.336
2013-02-07 751.875
2013-02-08 754.49
2013-02-09 754.45
2013-02-10 754.131
2013-02-11 757.985
2013-02-12 773.496
2013-02-13 765.285
2013-02-14 763.53
2013-02-15 759
2013-02-16 759
2013-02-17 761.81
2013-02-18 764.95
2013-02-19 764.31
2013-02-20 741.215
2013-02-21 734.975
2013-02-22 738.01
2013-02-23 738.01
2013-02-24 738.5
2013-02-25 738.99
2013-02-26 744.301
2013-02-27 745.655
2013-02-28 730.99
2013-03-01 721.1
2013-03-02 721.1
2013-03-03 724.5
2013-03-04 716.915
2013-03-05 737.4
2013-03-06 744.629
2013-03-07 758.744
2013-03-08 783.015
2013-03-09 783.015
2013-03-10 780.468
2013-03-11 779.7
2013-03-12 772.881
2013-03-13 771.75
2013-03-14 769.979
2013-03-15 775.955
2013-03-16 775.955
2013-03-17 766.5
2013-03-18 763.416
2013-03-19 737.732
2013-03-20 759.232
2013-03-21 755.5
2013-03-22 761.15
2013-03-23 761.15
2013-03-24 758.5
2013-03-25 758.04
2013-03-26 763.51
2013-03-27 766.5
2013-03-28 772.005
2013-03-29 772
2013-03-30 771.35
2013-03-31 768.236
2013-04-01 781.117
2013-04-02 770
2013-04-03 748.05
2013-04-04 725.822
2013-04-05 727.96
2013-04-06 727.96
2013-04-07 730.5
2013-04-08 732.643
2013-04-09 726.764
2013-04-10 720
2013-04-11 732.583
2013-04-12 706.95
2013-04-13 706.95
2013-04-14 706.95
2013-04-15 655.643
2013-04-16 677.914
2013-04-17 662.555
2013-04-18 667.611
2013-04-19 676.455
2013-04-20 676.455
2013-04-21 677.341
2013-04-22 679.5
2013-04-23 673.743
2013-04-24 670.076
2013-04-25 683.662
2013-04-26 679
2013-04-27 679
2013-04-28 681.485
2013-04-29 702.712
2013-04-30 698.45
2013-05-01 686
2013-05-02 694.767
2013-05-03 693.25
2013-05-04 693.25
2013-05-05 693.767
2013-05-06 695.074
2013-05-07 681.957
2013-05-08 694.5
2013-05-09 708
2013-05-10 707.23
2013-05-11 707.23
2013-05-12 707.23
2013-05-13 718.5
2013-05-14 729.998
2013-05-15 728.695
2013-05-16 738.5
2013-05-17 738.5
2013-05-18 738.5
2013-05-19 734.5
2013-05-20 746.85
2013-05-21 745.602
2013-05-22 745.067
2013-05-23 737.5
2013-05-24 726.366
2013-05-25 726.366
2013-05-26 728.26
2013-05-27 736.976
2013-05-28 754.5
2013-05-29 748.5
2013-05-30 757
2013-05-31 750.1
2013-06-01 750.1
2013-06-02 748.605
2013-06-03 757.066
2013-06-04 752.5
2013-06-05 757.037
2013-06-06 759.75
2013-06-07 758
2013-06-08 758
2013-06-09 756.087
2013-06-10 768.5
2013-06-11 751.5
2013-06-12 758.747
2013-06-13 734.005
2013-06-14 731.49
2013-06-15 731.49
2013-06-16 729.411
2013-06-17 714.25
2013-06-18 711.35
2013-06-19 692
2013-06-20 692
2013-06-21 692
2013-06-22 692
2013-06-23 676.195
2013-06-24 676.195
2013-06-25 664.5
2013-06-26 632.035
2013-06-27 644.439
2013-06-28 658
2013-06-29 658
2013-06-30 661.647
2013-07-01 683.348
2013-07-02 685
2013-07-03 685
2013-07-04 678
2013-07-05 680.5
2013-07-06 680.5
2013-07-07 685.977
2013-07-08 692
2013-07-09 699.835
2013-07-10 725.105
2013-07-11 723.762
2013-07-12 720.5
2013-07-13 720.5
2013-07-14 725.895
2013-07-15 732.146
2013-07-16 734.029
2013-07-17 735.5
2013-07-18 743.55
2013-07-19 746.5
2013-07-20 746.85
2013-07-21 750.457
2013-07-22 746.476
2013-07-23 742.022
2013-07-24 742.022
2013-07-25 742.022
2013-07-26 742.022
2013-07-27 742.022
2013-07-28 724.45
2013-07-29 741.5
2013-07-30 741.5
2013-07-31 741.5
2013-08-01 741.5
2013-08-02 741.5
2013-08-03 741.5
2013-08-04 730.729
2013-08-05 730.729
2013-08-06 730.729
2013-08-07 730.729
2013-08-08 730.729
2013-08-09 742
2013-08-10 742
2013-08-11 744.173
2013-08-12 737.5
2013-08-13 737.5
2013-08-14 737.5
2013-08-15 737.5
2013-08-16 760
2013-08-17 760
2013-08-18 761.979
2013-08-19 752.882
2013-08-20 747.445
2013-08-21 741.59
2013-08-22 754.507
2013-08-23 751.45
2013-08-24 751.45
2013-08-25 752.787
2013-08-26 748.5
2013-08-27 746.424
2013-08-28 745.5
2013-08-29 736
2013-08-30 721.5
2013-08-31 721.5
2013-09-01 721.714
2013-09-02 717.5
2013-09-03 717.35
2013-09-04 692
2013-09-05 685.297
2013-09-06 685.297
2013-09-07 685.297
2013-09-08 696.928
2013-09-09 689.35
2013-09-10 694.577
2013-09-11 694.577
2013-09-12 694.577
2013-09-13 694.577
2013-09-14 694.577
2013-09-15 708.2
2013-09-16 704.833
