"Index" "XPT.USD"
2013-01-01 1540.5
2013-01-02 1537.5
2013-01-03 1537.5
2013-01-04 1537.5
2013-01-05 1537.5
2013-01-06 1537.5
2013-01-07 1562.2
2013-01-08 1562.2
2013-01-09 1562.2
2013-01-10 1562.2
2013-01-11 1562.2
2013-01-12 1562.2
2013-01-13 1562.2
2013-01-14 1633.2
2013-01-15 1633.2
2013-01-16 1633.2
2013-01-17 1633.2
2013-01-18 1633.2
2013-01-19 1633.2
2013-01-20 1633.2
2013-01-21 1677.77
2013-01-22 1677.77
2013-01-23 1677.77
2013-01-24 1677.77
2013-01-25 1677.77
2013-01-26 1677.77
2013-01-27 1677.77
2013-01-28 1691.86
2013-01-29 1691.86
2013-01-30 1691.86
2013-01-31 1687.66
2013-02-01 1676.18
2013-02-02 1685
2013-02-03 1685
2013-02-04 1686.59
2013-02-05 1699.34
2013-02-06 1713.4
2013-02-07 1736.89
2013-02-08 1717.81
2013-02-09 1715.5
2013-02-10 1716.75
2013-02-11 1715
2013-02-12 1695.66
2013-02-13 1721.2
2013-02-14 1721.9
2013-02-15 1712.86
2013-02-16 1679
2013-02-17 1679
2013-02-18 1687.51
2013-02-19 1698.38
2013-02-20 1691.61
2013-02-21 1647.7
2013-02-22 1623.48
2013-02-23 1611
2013-02-24 1611
2013-02-25 1606.93
2013-02-26 1611.91
2013-02-27 1621.47
2013-02-28 1603.93
2013-03-01 1584.87
2013-03-02 1571.5
2013-03-03 1574
2013-03-04 1577.97
2013-03-05 1571.97
2013-03-06 1593
2013-03-07 1590.81
2013-03-08 1603.74
2013-03-09 1601.5
2013-03-10 1601.5
2013-03-11 1600.53
2013-03-12 1604.75
2013-03-13 1593.78
2013-03-14 1588.58
2013-03-15 1591.88
2013-03-16 1590
2013-03-17 1590
2013-03-18 1589.45
2013-03-19 1581.5
2013-03-20 1560.5
2013-03-21 1577
2013-03-22 1576.74
2013-03-23 1582
2013-03-24 1582
2013-03-25 1584.75
2013-03-26 1584.31
2013-03-27 1574.34
2013-03-28 1581.16
2013-03-29 1570.5
2013-03-30 1571
2013-03-31 1572.25
2013-04-01 1572.7
2013-04-02 1593.74
2013-04-03 1574.81
2013-04-04 1529.91
2013-04-05 1520.26
2013-04-06 1527.5
2013-04-07 1527.5
2013-04-08 1538.73
2013-04-09 1537.15
2013-04-10 1545.72
2013-04-11 1522.98
2013-04-12 1534.12
2013-04-13 1485.25
2013-04-14 1485.25
2013-04-15 1485.25
2013-04-16 1394.51
2013-04-17 1445.63
2013-04-18 1424.08
2013-04-19 1429.04
2013-04-20 1424.5
2013-04-21 1424.5
2013-04-22 1431.1
2013-04-23 1433.9
2013-04-24 1420.35
2013-04-25 1431.5
2013-04-26 1473.22
2013-04-27 1475
2013-04-28 1475
