"Index" "XSC.Open" "XSC.High" "XSC.Low" "XSC.Close" "XSC.Volume" "XSC.Adjusted"
2013-01-01 37.495 37.495 37.495 37.495 0 37.495
2013-01-02 37.465 37.465 37.465 37.465 0 37.465
2013-01-03 37.845 37.845 37.845 37.845 0 37.845
2013-01-04 37.73 37.73 37.73 37.73 0 37.73
2013-01-07 37.81 37.81 37.81 37.81 0 37.81
2013-01-08 37.825 37.825 37.825 37.825 0 37.825
2013-01-09 38.18 38.18 38.18 38.18 0 38.18
2013-01-10 38.23 38.23 38.23 38.23 0 38.23
2013-01-11 37.73 37.73 37.73 37.73 0 37.73
2013-01-14 37.135 37.135 37.135 37.135 0 37.135
2013-01-15 38.03 38.03 38.03 38.03 0 38.03
2013-01-16 37.62 37.62 37.62 37.62 0 37.62
2013-01-17 37.315 37.315 37.315 37.315 0 37.315
2013-01-18 36.9 36.9 36.9 36.9 0 36.9
2013-01-21 36.685 36.685 36.685 36.685 0 36.685
2013-01-22 36.625 36.625 36.625 36.625 0 36.625
2013-01-23 37.2 37.2 37.2 37.2 0 37.2
2013-01-24 36.295 36.295 36.295 36.295 0 36.295
2013-01-25 36.86 36.86 36.86 36.86 0 36.86
2013-01-28 35.94 35.94 35.94 35.94 0 35.94
2013-01-29 36.555 36.555 36.555 36.555 0 36.555
2013-01-30 36.86 36.86 36.86 36.86 0 36.86
2013-01-31 36.68 36.68 36.68 36.68 0 36.68
2013-02-01 36.2 36.2 36.2 36.2 0 36.2
2013-02-04 36.2 36.2 36.2 36.2 0 36.2
2013-02-05 36.2 36.2 36.185 36.185 0 36.185
2013-02-06 36.78 36.78 36.78 36.78 0 36.78
2013-02-07 35.96 35.96 35.96 35.96 0 35.96
2013-02-08 35.57 35.57 35.57 35.57 0 35.57
2013-02-11 35.845 35.845 35.845 35.845 0 35.845
2013-02-12 35.975 35.975 35.975 35.975 0 35.975
2013-02-13 35.785 35.785 35.785 35.785 0 35.785
2013-02-14 35.84 35.84 35.84 35.84 0 35.84
2013-02-15 35.825 35.825 35.825 35.825 0 35.825
2013-02-18 36.49 36.49 36.49 36.49 0 36.49
2013-02-19 36.47 36.47 36.47 36.47 0 36.47
2013-02-20 37.13 37.13 37.13 37.13 0 37.13
2013-02-21 36.82 36.82 36.82 36.82 0 36.82
2013-02-22 38.115 38.115 38.115 38.115 0 38.115
2013-02-25 38.345 38.345 38.345 38.345 0 38.345
2013-02-26 38.905 38.905 38.905 38.905 0 38.905
2013-02-27 38.265 38.265 38.265 38.265 0 38.265
2013-02-28 38.68 38.68 38.68 38.68 0 38.68
2013-03-01 39.24 39.24 39.24 39.24 0 39.24
2013-03-04 39.44 39.44 39.44 39.44 0 39.44
2013-03-05 39.065 39.065 39.065 39.065 0 39.065
2013-03-06 39.71 39.71 39.71 39.71 0 39.71
2013-03-07 40.665 40.665 40.665 40.665 0 40.665
2013-03-08 39.935 39.935 39.935 39.935 0 39.935
2013-03-11 39.405 39.405 39.405 39.405 0 39.405
2013-03-12 39.62 39.62 39.62 39.62 0 39.62
2013-03-13 39.8 39.8 39.8 39.8 0 39.8
2013-03-14 40.195 40.195 40.195 40.195 0 40.195
2013-03-15 39.99 39.99 39.99 39.99 0 39.99
2013-03-18 40.15 40.15 40.15 40.15 0 40.15
2013-03-19 40.025 40.025 40.025 40.025 0 40.025
2013-03-20 40.43 40.43 40.43 40.43 0 40.43
2013-03-21 39.95 39.95 39.95 39.95 0 39.95
2013-03-22 39.78 39.78 39.78 39.78 0 39.78
2013-03-25 39.93 39.93 39.93 39.93 0 39.93
2013-03-26 40.61 40.61 40.61 40.61 0 40.61
2013-03-27 39.875 39.875 39.875 39.875 0 39.875
2013-03-28 39.795 39.795 39.795 39.795 0 39.795
2013-03-29 39.795 39.795 39.795 39.795 0 39.795
2013-04-01 39.795 39.795 39.795 39.795 0 39.795
2013-04-02 38.505 38.505 38.505 38.505 0 38.505
2013-04-03 39.13 39.13 39.13 39.13 0 39.13
2013-04-04 39.625 39.625 39.625 39.625 0 39.625
2013-04-05 38.475 38.475 38.475 38.475 0 38.475
2013-04-08 37.96 37.96 37.96 37.96 0 37.96
2013-04-09 37.69 37.69 37.69 37.69 0 37.69
2013-04-10 37.875 37.875 37.875 37.875 0 37.875
2013-04-11 38.36 38.36 38.36 38.36 0 38.36
2013-04-12 38.42 38.42 38.42 38.42 0 38.42
2013-04-15 39.715 39.715 39.715 39.715 0 39.715
2013-04-16 40.565 40.565 40.565 40.565 0 40.565
2013-04-17 39.665 39.665 39.665 39.665 0 39.665
2013-04-18 40.26 40.26 40.26 40.26 0 40.26
2013-04-19 39.745 39.745 39.745 39.745 0 39.745
2013-04-22 39.885 39.885 39.885 39.885 0 39.885
2013-04-23 41.295 41.295 41.295 41.295 0 41.295
2013-04-24 41.22 41.22 41.22 41.22 0 41.22
2013-04-25 41.74 41.74 41.74 41.74 0 41.74
2013-04-26 42.135 42.135 42.135 42.135 0 42.135
2013-04-29 42.38 42.38 42.38 42.38 0 42.38
2013-04-30 42.11 42.11 42.11 42.11 0 42.11
2013-05-01 42.11 42.11 42.11 42.11 0 42.11
2013-05-02 41.76 41.76 41.76 41.76 0 41.76
2013-05-03 41.985 41.985 41.985 41.985 0 41.985
2013-05-06 41.55 41.55 41.55 41.55 0 41.55
2013-05-07 42.415 42.415 42.415 42.415 0 42.415
2013-05-08 42.525 42.525 42.525 42.525 0 42.525
2013-05-09 42.165 42.165 42.165 42.165 0 42.165
