"Index" "ZAR.Open" "ZAR.High" "ZAR.Low" "ZAR.Close" "ZAR.Volume" "ZAR.Adjusted"
2013-01-01 73 73 73 73 0 73
2013-01-02 72.25 72.25 72.25 72.25 0 72.25
2013-01-03 72.95 72.95 72.95 72.95 0 72.95
2013-01-04 70.68 70.68 70.68 70.68 0 70.68
2013-01-07 71.95 71.95 71.95 71.95 0 71.95
2013-01-08 71.95 71.95 71.95 71.95 0 71.95
2013-01-09 71.95 71.95 71.95 71.95 0 71.95
2013-01-10 74.4 74.4 74.4 74.4 0 74.4
2013-01-11 75.5 75.5 75.5 75.5 0 75.5
2013-01-14 75.45 75.45 75.45 75.45 0 75.45
2013-01-15 74.95 74.95 74.95 74.95 0 74.95
2013-01-16 73.95 73.95 73.95 73.95 0 73.95
2013-01-17 73.95 73.95 73.95 73.95 0 73.95
2013-01-18 73.95 73.95 73.95 73.95 0 73.95
2013-01-21 73.95 73.95 73.95 73.95 0 73.95
2013-01-22 73.95 73.95 73.95 73.95 0 73.95
2013-01-23 73.95 73.95 73.95 73.95 0 73.95
2013-01-24 73.95 75.95 73.95 75.95 0 75.95
2013-01-25 73.95 74.45 73.95 74.45 0 74.45
2013-01-28 74.45 74.45 74.45 74.45 0 74.45
2013-01-29 79.95 79.95 79.95 79.95 0 79.95
2013-01-30 80 80 80 80 0 80
2013-01-31 78.45 78.45 78.45 78.45 0 78.45
2013-02-01 78.95 78.95 78.95 78.95 0 78.95
2013-02-04 77.95 77.95 77.95 77.95 0 77.95
2013-02-05 77.95 77.95 77.95 77.95 0 77.95
2013-02-06 77.95 77.95 77.95 77.95 0 77.95
2013-02-07 77.95 77.95 77.95 77.95 0 77.95
2013-02-08 77.95 77.95 77.95 77.95 0 77.95
2013-02-11 78.15 81.01 78.15 81.01 0 81.01
2013-02-12 78.3 78.3 78.3 78.3 0 78.3
2013-02-13 78.95 78.95 78.95 78.95 0 78.95
2013-02-14 78.99 81 78.99 81 0 81
2013-02-15 80.45 80.45 80.45 80.45 0 80.45
2013-02-18 80.45 80.45 80.45 80.45 0 80.45
2013-02-19 79.95 79.95 79.95 79.95 0 79.95
2013-02-20 80 80 80 80 0 80
2013-02-21 80.45 81 80.45 81 0 81
2013-02-22 80 80 79.95 79.95 100 79.95
2013-02-25 79.95 79.95 79.95 79.95 0 79.95
2013-02-26 79 79 79 79 0 79
2013-02-27 79.1 79.1 79.1 79.1 0 79.1
2013-02-28 81.47 81.47 81.47 81.47 0 81.47
2013-03-01 81.95 83.5 81.95 83.45 100 83.45
2013-03-04 83.46 83.46 83.46 83.46 0 83.46
2013-03-05 82.55 82.55 82.55 82.55 0 82.55
2013-03-06 83.45 83.45 83.45 83.45 0 83.45
2013-03-07 85.95 85.95 85.95 85.95 0 85.95
2013-03-08 85.95 86.95 85.95 86.95 0 86.95
2013-03-11 86.65 87.95 86.65 87.95 0 87.95
2013-03-12 86.95 86.95 85.95 85.95 0 85.95
2013-03-13 85.95 85.95 85.95 85.95 0 85.95
2013-03-14 85.95 85.95 85.95 85.95 0 85.95
2013-03-15 85.95 85.95 85.95 85.95 0 85.95
2013-03-18 88 88 85 85 0 85
2013-03-19 85.95 85.95 85.95 85.95 0 85.95
2013-03-20 85.95 85.95 85.95 85.95 0 85.95
2013-03-21 86.95 86.95 86.95 86.95 0 86.95
2013-03-22 86.45 86.45 86.45 86.45 0 86.45
2013-03-25 86.45 86.45 86.45 86.45 0 86.45
2013-03-26 86.45 86.45 86.45 86.45 0 86.45
2013-03-27 85.95 85.95 85.45 85.45 0 85.45
2013-03-28 84.95 85.55 84.95 85.05 0 85.05
2013-03-29 85.05 85.05 85.05 85.05 0 85.05
2013-04-01 85.05 85.05 85.05 85.05 0 85.05
2013-04-02 81.95 81.95 81.95 81.95 0 81.95
2013-04-03 84.45 84.45 84.45 84.45 0 84.45
2013-04-04 84.95 84.95 84.95 84.95 0 84.95
2013-04-05 84.95 84.95 83.95 83.95 0 83.95
2013-04-08 81.45 81.45 81.45 81.45 0 81.45
2013-04-09 81.45 81.45 81.45 81.45 0 81.45
2013-04-10 82.95 82.95 82.95 82.95 0 82.95
2013-04-11 82.95 82.95 82.95 82.95 0 82.95
2013-04-12 83.45 83.45 83.45 83.45 0 83.45
2013-04-15 83.45 83.45 83.45 83.45 0 83.45
2013-04-16 83.45 83.45 83.45 83.45 0 83.45
2013-04-17 81.46 81.46 81.46 81.46 0 81.46
2013-04-18 82.45 82.45 82.45 82.45 0 82.45
2013-04-19 81.45 81.45 81.45 81.45 0 81.45
2013-04-22 81.45 81.45 81.45 81.45 0 81.45
2013-04-23 81.46 81.46 81.46 81.46 0 81.46
2013-04-24 81.06 81.06 81.06 81.06 0 81.06
2013-04-25 78.45 78.45 78.45 78.45 0 78.45
2013-04-26 80.45 80.45 80.1 80.1 0 80.1
2013-04-29 80.1 80.1 80.1 80.1 0 80.1
2013-04-30 80.1 80.1 80.1 80.1 0 80.1
2013-05-01 80.1 80.1 80.1 80.1 0 80.1
2013-05-02 80.1 80.1 80.1 80.1 0 80.1
2013-05-03 80.1 80.95 80.1 80.95 0 80.95
2013-05-06 80.95 80.95 80.95 80.95 0 80.95
2013-05-07 81.2 81.2 81.2 81.2 0 81.2
2013-05-08 79.95 79.95 79.95 79.95 0 79.95
2013-05-09 80.95 80.95 80.95 80.95 0 80.95
2013-05-10 80.95 80.95 80.95 80.95 0 80.95
2013-05-13 80.95 81.55 80.95 81.55 0 81.55
2013-05-14 80.95 80.95 80.95 80.95 0 80.95
2013-05-15 81.55 81.55 81.55 81.55 0 81.55
2013-05-16 81.95 81.95 81.95 81.95 0 81.95
2013-05-17 81.55 81.55 81.55 81.55 0 81.55
2013-05-20 81.55 81.55 81.55 81.55 0 81.55
2013-05-21 81.55 81.55 81.55 81.55 0 81.55
2013-05-22 80.15 80.15 80.15 80.15 0 80.15
