"Index" "ZC.Open" "ZC.High" "ZC.Low" "ZC.Close" "ZC.Volume" "ZC.Adjusted"
2015-03-20 30.92 30.92 30.92 30.92 800 30.92
2015-03-23 30.92 30.92 30.92 30.92 0 30.92
2015-03-24 30.92 30.92 30.92 30.92 0 30.92
2015-03-25 30.92 30.92 30.92 30.92 0 30.92
2015-03-26 30.92 30.92 30.92 30.92 0 30.92
2015-03-27 30.92 30.92 30.92 30.92 0 30.92
2015-03-30 30.92 30.92 30.92 30.92 0 30.92
2015-03-31 30.92 30.92 30.92 30.92 0 30.92
2015-04-01 30.92 30.92 30.92 30.92 0 30.92
2015-04-02 30.92 30.92 30.92 30.92 0 30.92
2015-04-03 30.92 30.92 30.92 30.92 0 30.92
2015-04-06 30.92 30.92 30.92 30.92 0 30.92
2015-04-07 30.92 30.92 30.92 30.92 0 30.92
2015-04-08 30.92 30.92 30.92 30.92 0 30.92
2015-04-09 30.92 30.92 30.92 30.92 0 30.92
2015-04-10 30.92 30.92 30.92 30.92 0 30.92
2015-04-13 30.92 30.92 30.92 30.92 0 30.92
2015-04-14 30.92 30.92 30.92 30.92 0 30.92
2015-04-15 30.92 30.92 30.92 30.92 0 30.92
2015-04-16 30.92 30.92 30.92 30.92 0 30.92
2015-04-17 30.92 30.92 30.92 30.92 0 30.92
2015-04-20 30.92 30.92 30.92 30.92 0 30.92
2015-04-21 30.92 30.92 30.92 30.92 0 30.92
2015-04-22 30.92 30.92 30.92 30.92 0 30.92
2015-04-23 30.92 30.92 30.92 30.92 0 30.92
2015-04-24 30.92 30.92 30.92 30.92 0 30.92
2015-04-27 30.92 30.92 30.92 30.92 0 30.92
2015-04-28 30.92 30.92 30.92 30.92 0 30.92
2015-04-29 30.92 30.92 30.92 30.92 0 30.92
2015-04-30 30.92 30.92 30.92 30.92 0 30.92
2015-05-01 30.92 30.92 30.92 30.92 0 30.92
2015-05-04 30.92 30.92 30.92 30.92 0 30.92
2015-05-05 30.92 30.92 30.92 30.92 0 30.92
