"Index" "ZF.Open" "ZF.High" "ZF.Low" "ZF.Close" "ZF.Volume" "ZF.Adjusted"
2013-01-02 12.28 12.47 12.28 12.47 63900 10.138053
2013-01-03 12.29 12.48 12.29 12.41 79000 10.260417
2013-01-04 12.41 12.43 12.34 12.35 78000 10.21081
2013-01-07 12.3 12.36 12.3 12.34 42000 10.202542
2013-01-08 12.33 12.37 12.28 12.36 33800 10.219077
2013-01-09 12.43 12.43 12.35 12.35 35000 10.21081
2013-01-10 12.44 12.47 12.38 12.46 65900 10.301756
2013-01-11 12.42 12.46 12.41 12.46 85800 10.301756
2013-01-14 12.45 12.48 12.41 12.45 32200 10.293488
2013-01-15 12.42 12.47 12.35 12.44 49400 10.28522
2013-01-16 12.4 12.49 12.38 12.46 52900 10.301756
2013-01-17 12.47 12.6 12.47 12.55 66200 10.376167
2013-01-18 12.55 12.64 12.53 12.62 91600 10.434042
2013-01-22 12.6 12.66 12.6 12.66 37200 10.467113
2013-01-23 12.64 12.74 12.64 12.69 79700 10.491917
2013-01-24 12.65 12.7 12.64 12.66 43300 10.467113
2013-01-25 12.65 12.68 12.62 12.65 59800 10.458845
2013-01-28 12.66 12.68 12.63 12.64 28800 10.450578
2013-01-29 12.58 12.69 12.58 12.64 59100 10.450578
2013-01-30 12.66 12.7 12.61 12.65 68400 10.458845
2013-01-31 12.62 12.67 12.61 12.64 54100 10.450578
2013-02-01 12.7 12.76 12.68 12.72 79800 10.516721
2013-02-04 12.67 12.69 12.59 12.61 81800 10.425774
2013-02-05 12.66 12.75 12.66 12.74 76500 10.533256
2013-02-06 12.69 12.8 12.69 12.8 28200 10.582864
2013-02-07 12.76 12.81 12.69 12.74 35900 10.533256
2013-02-08 12.75 12.82 12.75 12.78 48500 10.566328
2013-02-11 12.79 12.82 12.77 12.81 68500 10.591132
2013-02-12 12.79 12.84 12.77 12.82 71200 10.599399
2013-02-13 12.79 12.84 12.77 12.78 69900 10.566328
2013-02-14 12.74 12.81 12.74 12.77 130100 10.55806
2013-02-15 12.77 12.81 12.75 12.79 60700 10.574596
2013-02-19 12.77 12.86 12.77 12.81 73900 10.591132
2013-02-20 12.8 12.82 12.71 12.71 69200 10.508453
2013-02-21 12.7 12.7 12.58 12.59 113000 10.409239
2013-02-22 12.65 12.67 12.61 12.65 72400 10.458845
2013-02-25 12.69 12.73 12.5 12.52 54100 10.351364
2013-02-26 12.52 12.54 12.45 12.5 46400 10.334828
2013-02-27 12.5 12.64 12.48 12.63 53100 10.44231
2013-02-28 12.65 12.71 12.63 12.68 62300 10.48365
2013-03-01 12.53 12.72 12.53 12.7 67000 10.500185
2013-03-04 12.62 12.75 12.62 12.74 51200 10.533256
2013-03-05 12.75 12.86 12.73 12.79 61300 10.574596
2013-03-06 12.83 12.88 12.82 12.84 71800 10.615935
2013-03-07 12.85 12.89 12.84 12.88 40300 10.649007
2013-03-08 12.87 12.92 12.87 12.92 104600 10.682078
2013-03-11 12.91 12.98 12.91 12.94 92000 10.698613
2013-03-12 12.92 12.98 12.91 12.91 64200 10.67381
2013-03-13 12.95 12.95 12.92 12.93 67900 10.690346
2013-03-14 12.94 12.97 12.93 12.97 140300 10.723417
2013-03-15 12.97 12.98 12.94 12.95 59900 10.706881
2013-03-18 12.92 12.98 12.87 12.91 67800 10.67381
2013-03-19 12.91 12.93 12.83 12.87 48900 10.640739
2013-03-20 12.89 12.95 12.89 12.95 34300 10.706881
2013-03-21 12.91 12.91 12.84 12.84 71800 10.615935
2013-03-22 12.85 12.92 12.85 12.91 49900 10.67381
2013-03-25 12.9 12.95 12.84 12.84 54400 10.615935
2013-03-26 12.9 12.97 12.9 12.96 48400 10.715149
2013-03-27 12.93 12.99 12.9 12.99 36600 10.739953
2013-03-28 12.98 13 12.98 13 43500 10.748221
2013-04-01 12.99 13 12.89 12.89 72200 10.657275
2013-04-02 12.92 12.98 12.92 12.93 63000 10.690346
2013-04-03 12.9 12.93 12.8 12.85 96000 10.624203
2013-04-04 12.84 12.88 12.82 12.84 48800 10.615935
2013-04-05 12.72 12.8 12.68 12.77 85000 10.55806
2013-04-08 12.79 12.86 12.75 12.86 103700 10.632471
2013-04-09 12.65 12.74 12.65 12.71 64600 10.693891
2013-04-10 12.74 12.89 12.74 12.89 101200 10.845339
2013-04-11 12.88 12.92 12.84 12.89 78600 10.845339
2013-04-12 12.82 12.87 12.82 12.87 55500 10.828511
2013-04-15 12.77 12.81 12.67 12.68 191500 10.66865
2013-04-16 12.71 12.72 12.57 12.68 71700 10.66865
2013-04-17 12.61 12.61 12.48 12.53 58800 10.542443
2013-04-18 12.56 12.56 12.35 12.39 62700 10.424651
2013-04-19 12.47 12.64 12.4 12.44 105300 10.466719
2013-04-22 12.42 12.47 12.39 12.43 45400 10.458306
2013-04-23 12.48 12.63 12.48 12.62 59400 10.618167
2013-04-24 12.59 12.7 12.5 12.68 66400 10.66865
2013-04-25 12.73 12.79 12.72 12.73 59400 10.710718
2013-04-26 12.72 12.77 12.69 12.73 47300 10.710718
2013-04-29 12.73 12.82 12.71 12.78 50900 10.752787
2013-04-30 12.77 12.88 12.77 12.88 72500 10.836925
2013-05-01 12.86 12.9 12.79 12.81 94800 10.778029
2013-05-02 12.83 12.86 12.7 12.82 56400 10.786442
2013-05-03 12.87 13 12.87 12.93 77700 10.878994
2013-05-06 12.95 13.05 12.95 12.99 60800 10.929476
2013-05-07 13.02 13.09 13.02 13.09 66200 11.013614
2013-05-08 13.06 13.17 13.06 13.17 43200 11.080924
2013-05-09 13.18 13.2 13.13 13.2 153900 11.106165
2013-05-10 13.14 13.23 13.12 13.18 48500 11.089338
2013-05-13 13.12 13.25 13.12 13.24 50400 11.139821
2013-05-14 13.21 13.35 13.19 13.34 61700 11.223958
2013-05-15 13.26 13.41 13.26 13.35 53100 11.232372
2013-05-16 13.34 13.41 13.34 13.37 38900 11.2492
2013-05-17 13.38 13.43 13.34 13.39 53500 11.266027
2013-05-20 13.36 13.48 13.35 13.42 74100 11.291268
