"Index" "ZN.Open" "ZN.High" "ZN.Low" "ZN.Close" "ZN.Volume" "ZN.Adjusted"
2013-01-02 1.79 1.79 1.69 1.79 48200 1.79
2013-01-03 1.76 1.79 1.72 1.79 41400 1.79
2013-01-04 1.77 1.8 1.77 1.8 37900 1.8
2013-01-07 1.8 1.8 1.73 1.74 37900 1.74
2013-01-08 1.73 1.77 1.72 1.75 43700 1.75
2013-01-09 1.75 1.77 1.71 1.73 35200 1.73
2013-01-10 1.71 1.77 1.71 1.76 26200 1.76
2013-01-11 1.73 1.75 1.71 1.71 37400 1.71
2013-01-14 1.73 1.77 1.72 1.72 22500 1.72
2013-01-15 1.74 1.76 1.72 1.75 49300 1.75
2013-01-16 1.77 1.77 1.71 1.72 32300 1.72
2013-01-17 1.72 1.74 1.71 1.71 42600 1.71
2013-01-18 1.73 1.76 1.71 1.74 24000 1.74
2013-01-22 1.74 1.75 1.66 1.66 82800 1.66
2013-01-23 1.68 1.74 1.66 1.66 59400 1.66
2013-01-24 1.68 1.68 1.58 1.59 132900 1.59
2013-01-25 1.5 1.52 1.03 1.19 1401600 1.19
2013-01-28 1.2 1.25 1.15 1.16 449000 1.16
2013-01-29 1.15 1.15 1.04 1.05 427300 1.05
2013-01-30 1.05 1.05 1 1 368000 1
2013-01-31 1 1 0.85 0.85 573500 0.85
2013-02-01 0.85 0.99 0.81 0.97 435600 0.97
2013-02-04 1.07 1.08 1 1.04 346500 1.04
2013-02-05 1.06 1.06 1.02 1.02 125900 1.02
2013-02-06 1.05 1.08 1.02 1.06 96100 1.06
2013-02-07 1.06 1.08 1.05 1.06 86000 1.06
2013-02-08 1.08 1.25 1.08 1.25 502000 1.25
2013-02-11 1.25 1.75 1.25 1.59 1412700 1.59
2013-02-12 1.66 1.79 1.45 1.52 1087200 1.52
2013-02-13 1.52 1.52 1.27 1.31 446000 1.31
2013-02-14 1.3 1.37 1.28 1.33 102200 1.33
2013-02-15 1.37 1.37 1.3 1.3 143600 1.3
2013-02-19 1.34 1.35 1.22 1.23 193900 1.23
2013-02-20 1.22 1.29 1.22 1.24 91100 1.24
2013-02-21 1.22 1.24 1.2 1.2 67800 1.2
2013-02-22 1.18 1.24 1.18 1.24 117700 1.24
2013-02-25 1.25 1.26 1.14 1.18 169200 1.18
2013-02-26 1.18 1.22 1.15 1.16 45700 1.16
2013-02-27 1.18 1.18 1.15 1.17 70200 1.17
2013-02-28 1.2 1.2 1.17 1.19 68200 1.19
2013-03-01 1.17 1.2 1.15 1.17 48000 1.17
2013-03-04 1.19 1.2 1.15 1.17 54800 1.17
2013-03-05 1.16 1.2 1.15 1.2 49300 1.2
2013-03-06 1.23 1.27 1.2 1.21 119200 1.21
2013-03-07 1.21 1.3 1.21 1.27 104400 1.27
2013-03-08 1.3 1.34 1.28 1.29 76100 1.29
2013-03-11 1.32 1.34 1.27 1.33 145600 1.33
2013-03-12 1.33 1.34 1.22 1.22 73700 1.22
2013-03-13 1.29 1.29 1.17 1.24 177000 1.24
2013-03-14 1.26 1.28 1.21 1.22 60500 1.22
2013-03-15 1.21 1.3 1.21 1.24 35100 1.24
2013-03-18 1.24 1.33 1.21 1.28 118500 1.28
2013-03-19 1.3 1.3 1.21 1.22 119100 1.22
2013-03-20 1.23 1.28 1.2 1.21 65100 1.21
2013-03-21 1.23 1.26 1.22 1.22 22700 1.22
2013-03-22 1.25 1.25 1.22 1.25 32400 1.25
2013-03-25 1.26 1.27 1.21 1.27 59600 1.27
2013-03-26 1.25 1.26 1.21 1.24 59900 1.24
2013-03-27 1.25 1.27 1.23 1.24 88800 1.24
2013-03-28 1.24 1.26 1.21 1.25 67600 1.25
2013-04-01 1.27 1.29 1.25 1.26 103600 1.26
2013-04-02 1.3 1.38 1.27 1.29 151400 1.29
2013-04-03 1.31 1.31 1.25 1.29 64000 1.29
2013-04-04 1.29 1.3 1.26 1.28 49900 1.28
2013-04-05 1.27 1.35 1.27 1.3 140400 1.3
2013-04-08 1.33 1.33 1.26 1.27 78200 1.27
2013-04-09 1.3 1.32 1.27 1.31 47600 1.31
2013-04-10 1.32 1.35 1.29 1.34 93700 1.34
2013-04-11 1.35 1.37 1.33 1.34 61700 1.34
2013-04-12 1.35 1.35 1.3 1.3 36100 1.3
2013-04-15 1.29 1.33 1.25 1.25 157600 1.25
2013-04-16 1.26 1.32 1.26 1.27 45100 1.27
2013-04-17 1.28 1.3 1.26 1.26 30200 1.26
2013-04-18 1.26 1.26 1.25 1.26 63100 1.26
2013-04-19 1.29 1.29 1.26 1.27 64200 1.27
2013-04-22 1.3 1.3 1.27 1.3 50700 1.3
2013-04-23 1.31 1.31 1.26 1.27 43300 1.27
2013-04-24 1.28 1.3 1.26 1.3 50000 1.3
