"Date" "Mid Price"
2015-11-26 26.03
2015-11-19 30.55
2015-11-12 23.00
2015-11-05 18.60
2015-10-29 20.59
2015-10-22 24.02
2015-10-15 27.14
2015-10-08 28.19
2015-10-01 39.92
2015-09-24 28.69
2015-09-17 29.13
2015-09-10 35.01
2015-09-03 31.67
2015-08-27 38.27
2015-08-20 33.33
2015-08-13 36.15
2015-08-06 31.66
2015-07-30 40.70
2015-07-23 25.60
2015-07-16 23.24
2015-07-09 29.18
2015-07-02 35.09
2015-06-25 21.67
2015-06-18 34.30
2015-06-11 32.58
2015-06-04 24.63
2015-05-28 25.14
2015-05-21 25.00
2015-05-14 26.36
2015-05-07 26.84
2015-04-30 21.95
2015-04-23 23.19
2015-04-16 22.78
2015-04-09 24.15
2015-04-02 31.96
2015-03-26 24.38
2015-03-19 31.48
2015-03-12 25.41
2015-03-05 23.36
2015-02-26 20.30
2015-02-19 17.88
2015-02-12 20.33
2015-02-05 32.42
2015-01-29 22.39
2015-01-22 30.79
2015-01-15 21.50
2015-01-08 27.70
2015-01-01 19.31
2014-12-25 18.87
2014-12-18 26.88
2014-12-11 22.34
2014-12-04 25.94
2014-11-27 20.79
2014-11-20 23.82
2014-11-13 19.31
2014-11-06 15.05
2014-10-30 21.07
2014-10-23 22.50
2014-10-16 33.70
2014-10-09 30.98
2014-10-02 30.90
2014-09-25 28.23
2014-09-18 22.98
2014-09-11 26.60
2014-09-04 23.96
2014-08-28 19.23
2014-08-21 23.65
2014-08-14 26.96
2014-08-07 38.23
2014-07-31 31.12
2014-07-24 29.94
2014-07-17 28.48
2014-07-10 28.65
2014-07-03 22.39
2014-06-26 21.09
2014-06-19 24.13
2014-06-12 21.25
2014-06-05 22.22
2014-05-29 23.20
2014-05-22 26.40
2014-05-15 22.61
2014-05-08 28.66
2014-05-01 29.45
2014-04-24 26.02
2014-04-17 34.25
2014-04-10 34.11
2014-04-03 26.79
2014-03-27 28.61
2014-03-20 26.15
2014-03-13 26.82
2014-03-06 26.63
2014-02-27 21.13
2014-02-20 22.80
2014-02-13 27.34
2014-02-06 36.41
2014-01-30 32.76
2014-01-23 23.76
2014-01-16 21.49
2014-01-09 25.00
2014-01-02 29.27
2013-12-26 18.54
2013-12-19 25.08
2013-12-12 25.00
2013-12-05 27.55
2013-11-28 28.25
2013-11-21 29.48
2013-11-14 27.47
2013-11-07 21.81
2013-10-31 21.48
2013-10-24 17.57
2013-10-17 24.92
2013-10-10 33.58
2013-10-03 30.07
2013-09-26 30.61
2013-09-19 29.70
2013-09-12 24.58
2013-09-05 31.25
2013-08-29 30.75
2013-08-22 42.86
2013-08-15 28.17
2013-08-08 26.65
2013-08-01 25.00
2013-07-25 22.56
2013-07-18 21.25
2013-07-11 18.30
2013-07-04 23.84
2013-06-27 35.17
2013-06-20 29.96
2013-06-13 34.59
2013-06-06 38.95
2013-05-30 29.64
2013-05-23 21.58
2013-05-16 29.34
2013-05-09 27.44
2013-05-02 35.92
2013-04-25 38.82
2013-04-18 48.22
2013-04-11 54.48
2013-04-04 28.17
2013-03-28 28.65
2013-03-21 33.33
2013-03-14 32.03
2013-03-07 38.51
2013-02-28 36.59
2013-02-21 32.50
2013-02-14 28.73
2013-02-07 29.56
2013-01-31 24.30
2013-01-24 24.27
2013-01-17 27.32
2013-01-10 26.92
2013-01-03 36.20
2012-12-27 30.22
2012-12-20 24.80
2012-12-13 30.08
2012-12-06 34.60
2012-11-29 34.36
2012-11-22 40.78
2012-11-15 48.82
2012-11-08 39.91
2012-11-01 40.98
2012-10-25 43.08
2012-10-18 44.55
2012-10-11 38.85
2012-10-04 33.23
2012-09-27 36.46
2012-09-20 33.78
2012-09-13 32.99
2012-09-06 33.06
2012-08-30 32.64
2012-08-23 25.87
2012-08-16 28.07
2012-08-09 27.35
2012-08-02 34.93
2012-07-26 43.13
2012-07-19 41.79
2012-07-12 34.73
2012-07-05 33.33
2012-06-28 44.37
2012-06-21 35.88
2012-06-14 35.79
2012-06-07 45.75
2012-05-31 42.02
2012-05-24 38.67
2012-05-17 45.97
2012-05-10 42.06
2012-05-03 28.47
2012-04-26 37.40
2012-04-19 33.84
2012-04-12 41.56
2012-04-05 27.80
2012-03-29 25.48
2012-03-22 27.81
2012-03-15 27.20
2012-03-08 29.00
2012-03-01 26.83
2012-02-23 27.51
2012-02-16 26.63
2012-02-09 20.19
2012-02-02 25.08
2012-01-26 18.91
2012-01-19 23.61
2012-01-12 17.18
2012-01-05 17.16
2011-12-29 30.83
2011-12-22 28.24
2011-12-15 33.64
2011-12-08 34.76
2011-12-01 39.42
2011-11-24 38.27
2011-11-17 31.04
2011-11-10 24.56
2011-11-03 29.62
2011-10-27 25.00
2011-10-20 34.60
2011-10-13 36.36
2011-10-06 45.71
2011-09-29 46.79
2011-09-22 48.00
2011-09-15 41.35
2011-09-08 40.29
2011-09-01 32.34
2011-08-25 40.96
2011-08-18 39.82
2011-08-11 44.78
2011-08-04 49.85
2011-07-28 31.42
2011-07-21 30.61
2011-07-14 29.25
2011-07-07 24.68
2011-06-30 30.19
2011-06-23 35.74
2011-06-16 42.75
2011-06-09 47.67
2011-06-02 33.43
2011-05-26 41.42
2011-05-19 41.29
2011-05-12 35.50
2011-05-05 31.87
2011-04-28 30.65
2011-04-21 30.99
2011-04-14 30.99
2011-04-07 28.85
2011-03-31 31.07
2011-03-24 34.97
2011-03-17 40.12
2011-03-10 32.32
2011-03-03 33.16
2011-02-24 36.14
2011-02-17 25.57
2011-02-10 26.91
2011-02-03 26.87
2011-01-27 34.29
2011-01-20 29.10
2011-01-13 23.44
2011-01-06 18.25
2010-12-30 20.05
2010-12-23 16.40
2010-12-16 27.15
2010-12-09 22.56
2010-12-02 26.21
2010-11-25 24.68
2010-11-18 32.50
2010-11-11 28.49
2010-11-04 29.79
2010-10-28 21.60
2010-10-21 25.19
2010-10-14 26.81
2010-10-07 27.74
2010-09-30 31.61
2010-09-23 25.40
2010-09-16 24.26
2010-09-09 31.61
2010-09-02 42.21
2010-08-26 49.47
2010-08-19 42.47
2010-08-12 30.12
2010-08-05 38.24
2010-07-29 33.33
2010-07-22 45.03
2010-07-15 37.80
2010-07-08 57.07
2010-07-01 41.99
2010-06-24 32.43
2010-06-17 30.66
2010-06-10 43.10
2010-06-03 40.85
2010-05-27 50.88
2010-05-20 33.70
2010-05-13 36.60
2010-05-06 28.57
2010-04-29 28.64
2010-04-22 34.25
2010-04-15 29.70
2010-04-08 30.36
2010-04-01 31.16
2010-03-25 34.66
2010-03-18 29.88
2010-03-11 25.29
2010-03-04 26.21
2010-02-25 29.53
2010-02-18 35.22
2010-02-11 41.88
2010-02-04 43.08
2010-01-28 36.67
