"Date" "Mid Price"
2015-11-26 32.36
2015-11-19 30.77
2015-11-12 34.27
2015-11-05 39
2015-10-29 40.39
2015-10-22 34.77
2015-10-15 34.08
2015-10-08 37.52
2015-10-01 28.11
2015-09-24 32.12
2015-09-17 33.26
2015-09-10 34.65
2015-09-03 32.38
2015-08-27 32.5
2015-08-20 26.82
2015-08-13 30.45
2015-08-06 24.32
2015-07-30 21.11
2015-07-23 32.54
2015-07-16 30.81
2015-07-09 27.91
2015-07-02 22.61
2015-06-25 35.56
2015-06-18 25.41
2015-06-11 20.04
2015-06-04 27.34
2015-05-28 27
2015-05-21 25.21
2015-05-14 26.74
2015-05-07 27.06
2015-04-30 30.84
2015-04-23 31.47
2015-04-16 32.07
2015-04-09 28.7
2015-04-02 35.4
2015-03-26 38.43
2015-03-19 27.16
2015-03-12 31.6
2015-03-05 39.8
2015-02-26 45.37
2015-02-19 47.02
2015-02-12 40
2015-02-05 35.49
2015-01-29 44.17
2015-01-22 37.14
2015-01-15 46.11
2015-01-08 41.01
2015-01-01 51.74
2014-12-25 50.94
2014-12-18 38.74
2014-12-11 45.02
2014-12-04 42.68
2014-11-27 52.15
2014-11-20 49.12
2014-11-13 57.93
2014-11-06 52.69
2014-10-30 49.37
2014-10-23 49.69
2014-10-16 42.66
2014-10-09 39.88
2014-10-02 35.42
2014-09-25 41.84
2014-09-18 42.24
2014-09-11 40.38
2014-09-04 44.67
2014-08-28 51.92
2014-08-21 46.11
2014-08-14 39.81
2014-08-07 30.89
2014-07-31 31.12
2014-07-24 29.63
2014-07-17 32.36
2014-07-10 37.64
2014-07-03 38.51
2014-06-26 37.22
2014-06-19 35.17
2014-06-12 44.69
2014-06-05 39.51
2014-05-29 36.46
2014-05-22 30.43
2014-05-15 33.12
2014-05-08 28.34
2014-05-01 29.77
2014-04-24 34.5
2014-04-17 27.22
2014-04-10 28.48
2014-04-03 35.36
2014-03-27 31.16
2014-03-20 36.78
2014-03-13 41.34
2014-03-06 40.51
2014-02-27 39.69
2014-02-20 42.2
2014-02-13 40.15
2014-02-06 27.9
2014-01-30 32.18
2014-01-23 38.12
2014-01-16 38.99
2014-01-09 43.62
2014-01-02 43.09
2013-12-26 55.06
2013-12-19 47.46
2013-12-12 41.27
2013-12-05 42.64
2013-11-28 47.3
2013-11-21 34.39
2013-11-14 39.2
2013-11-07 45.48
2013-10-31 44.97
2013-10-24 49.2
2013-10-17 46.28
2013-10-10 41.33
2013-10-03 37.84
2013-09-26 36.05
2013-09-19 45.11
2013-09-12 45.51
2013-09-05 35.53
2013-08-29 33.54
2013-08-22 28.96
2013-08-15 34.51
2013-08-08 39.5
2013-08-01 35.62
2013-07-25 45.12
2013-07-18 47.74
2013-07-11 48.94
2013-07-04 41.99
2013-06-27 30.28
2013-06-20 37.45
2013-06-13 32.97
2013-06-06 29.47
2013-05-30 35.97
2013-05-23 48.97
2013-05-16 38.49
2013-05-09 40.79
2013-05-02 30.99
2013-04-25 28.29
2013-04-18 26.85
2013-04-11 19.31
2013-04-04 35.49
2013-03-28 38.4
2013-03-21 38.94
2013-03-14 45.42
2013-03-07 31.06
2013-02-28 28.39
2013-02-21 41.79
2013-02-14 42.25
2013-02-07 42.77
2013-01-31 48.04
2013-01-24 52.34
2013-01-17 43.94
2013-01-10 46.45
2013-01-03 38.71
2012-12-27 44.4
2012-12-20 46.4
2012-12-13 43.23
2012-12-06 42.22
2012-11-29 40.93
2012-11-22 35.82
2012-11-15 28.82
2012-11-08 38.5
2012-11-01 35.74
2012-10-25 29.25
2012-10-18 28.66
2012-10-11 30.58
2012-10-04 33.86
2012-09-27 36.1
2012-09-20 37.5
2012-09-13 36.46
2012-09-06 33.06
2012-08-30 34.72
2012-08-23 41.96
