"Date" "Mid Price"
11/26/2015 41.61
11/19/2015 38.68
11/12/2015 42.72
11/5/2015 42.4
10/29/2015 39.02
10/22/2015 41.21
10/15/2015 38.78
10/8/2015 34.29
10/1/2015 31.98
9/24/2015 39.19
9/17/2015 37.6
9/10/2015 30.34
9/3/2015 35.94
8/27/2015 29.23
8/20/2015 39.85
8/13/2015 33.4
8/6/2015 44.03
7/30/2015 38.19
7/23/2015 41.87
7/16/2015 45.95
7/9/2015 42.92
7/2/2015 42.3
6/25/2015 42.78
6/18/2015 40.29
6/11/2015 47.38
6/4/2015 48.03
5/28/2015 47.86
5/21/2015 49.79
5/14/2015 46.9
5/7/2015 46.1
4/30/2015 47.21
4/23/2015 45.34
4/16/2015 45.15
4/9/2015 47.15
4/2/2015 32.65
3/26/2015 37.19
3/19/2015 41.36
3/12/2015 43
3/5/2015 36.84
2/26/2015 34.33
2/19/2015 35.1
2/12/2015 39.67
2/5/2015 32.08
1/29/2015 33.44
1/22/2015 32.06
1/15/2015 32.4
1/8/2015 31.3
1/1/2015 28.96
12/25/2014 30.19
12/18/2014 34.39
12/11/2014 32.65
12/4/2014 31.38
11/27/2014 27.06
11/20/2014 27.06
11/13/2014 22.76
11/6/2014 32.26
10/30/2014 29.56
10/23/2014 27.81
10/16/2014 23.64
10/9/2014 29.14
10/2/2014 33.68
9/25/2014 29.93
9/18/2014 34.78
9/11/2014 33.01
9/4/2014 31.36
8/28/2014 28.85
8/21/2014 30.24
8/14/2014 33.23
8/7/2014 30.89
7/31/2014 37.76
7/24/2014 40.43
7/17/2014 39.16
7/10/2014 33.71
7/3/2014 39.1
6/26/2014 41.69
6/19/2014 40.7
6/12/2014 34.06
6/5/2014 38.27
5/29/2014 40.33
5/22/2014 43.17
5/15/2014 44.27
5/8/2014 42.99
5/1/2014 40.78
4/24/2014 39.47
4/17/2014 38.53
4/10/2014 37.42
4/3/2014 37.86
3/27/2014 40.23
3/20/2014 37.07
3/13/2014 31.84
3/6/2014 32.86
2/27/2014 39.18
2/20/2014 35
2/13/2014 32.51
2/6/2014 35.7
1/30/2014 35.06
1/23/2014 38.12
1/16/2014 39.52
1/9/2014 31.38
1/2/2014 27.64
12/26/2013 26.4
12/19/2013 27.46
12/12/2013 33.73
12/5/2013 29.81
11/28/2013 24.44
11/21/2013 36.13
11/14/2013 33.33
11/7/2013 32.71
10/31/2013 33.56
10/24/2013 33.23
10/17/2013 28.8
10/10/2013 25.09
10/3/2013 32.09
9/26/2013 33.33
9/19/2013 25.19
9/12/2013 29.9
9/5/2013 33.22
8/29/2013 35.71
8/22/2013 28.19
8/15/2013 37.32
8/8/2013 33.86
8/1/2013 39.38
7/25/2013 32.32
7/18/2013 31.01
7/11/2013 32.77
7/4/2013 34.16
6/27/2013 34.56
6/20/2013 32.58
6/13/2013 32.43
6/6/2013 31.58
5/30/2013 34.39
5/23/2013 29.45
5/16/2013 32.18
5/9/2013 31.77
5/2/2013 33.1
4/25/2013 32.89
4/18/2013 24.93
4/11/2013 26.21
4/4/2013 36.34
3/28/2013 32.95
3/21/2013 27.72
3/14/2013 22.55
3/7/2013 30.43
2/28/2013 35.02
2/21/2013 25.71
2/14/2013 29.01
2/7/2013 27.67
1/31/2013 27.65
1/24/2013 23.39
1/17/2013 28.73
1/10/2013 26.63
1/3/2013 25.09
12/27/2012 25.37
12/20/2012 28.8
12/13/2012 26.69
12/6/2012 23.17
11/29/2012 24.71
11/22/2012 23.4
11/15/2012 22.35
11/8/2012 21.6
11/1/2012 23.28
10/25/2012 27.67
10/18/2012 26.79
10/11/2012 30.58
10/4/2012 32.91
9/27/2012 27.44
9/20/2012 28.72
9/13/2012 30.56
9/6/2012 33.88
8/30/2012 32.64
8/23/2012 32.17
8/16/2012 35.09
8/9/2012 36.18
8/2/2012 34.63
7/26/2012 28.75
7/19/2012 36.02
7/12/2012 35.05
7/5/2012 34.03
6/28/2012 26.96
6/21/2012 31.23
6/14/2012 30.18
6/7/2012 26.8
5/31/2012 29.96
5/24/2012 30.86
5/17/2012 30.45
5/10/2012 32.54
5/3/2012 36.13
4/26/2012 34.96
4/19/2012 34.98
4/12/2012 30.3
4/5/2012 34.02
3/29/2012 32.05
3/22/2012 29.8
3/15/2012 27.2
3/8/2012 28.62
3/1/2012 28.66
2/23/2012 28.8
2/16/2012 30.65
2/9/2012 28.17
2/2/2012 31.12
1/26/2012 32.69
1/19/2012 29.15
1/12/2012 33.68
1/5/2012 33.95
12/29/2011 28.57
12/22/2011 38.04
12/15/2011 26.16
12/8/2011 26.66
12/1/2011 27.53
11/24/2011 29.01
11/17/2011 27.01
11/10/2011 30.7
11/3/2011 30.2
10/27/2011 32
10/20/2011 29.41
10/13/2011 23.86
10/6/2011 19.04
9/29/2011 20.68
9/22/2011 26.67
9/15/2011 28.15
9/8/2011 29.5
9/1/2011 29.04
8/25/2011 22.6
8/18/2011 24.62
8/11/2011 21.79
8/4/2011 22.99
7/28/2011 30.74
7/21/2011 29.54
7/14/2011 31.45
7/7/2011 33.54
6/30/2011 31.49
6/23/2011 26.8
6/16/2011 28.25
6/9/2011 27.91
6/2/2011 36.39
5/26/2011 32.97
5/19/2011 32.02
5/12/2011 33.73
5/5/2011 32.67
4/28/2011 31.45
4/21/2011 36.84
4/14/2011 26.76
4/7/2011 27.56
3/31/2011 27.12
3/24/2011 27.27
3/17/2011 31.39
3/10/2011 31.71
3/3/2011 30.05
2/24/2011 27.23
2/17/2011 27.85
2/10/2011 23.69
2/3/2011 21.59
1/27/2011 23.67
1/20/2011 20.15
1/13/2011 24.22
1/6/2011 25.86
12/30/2010 28.34
12/23/2010 20.31
12/16/2010 22.62
12/9/2010 24.39
12/2/2010 24.14
11/25/2010 27.92
11/18/2010 27.5
11/11/2010 13.95
11/4/2010 21.99
10/28/2010 27.16
10/21/2010 25.19
10/14/2010 26.09
10/7/2010 23.23
9/30/2010 25.86
9/23/2010 29.63
9/16/2010 24.85
9/9/2010 24.51
9/2/2010 27
8/26/2010 29.79
8/19/2010 27.42
8/12/2010 30.12
8/5/2010 31.37
7/29/2010 26.67
7/22/2010 22.81
7/15/2010 22.84
7/8/2010 21.99
7/1/2010 33.33
6/24/2010 33.11
6/17/2010 26.89
6/10/2010 22.41
6/3/2010 22.07
5/27/2010 19.3
5/20/2010 25
5/13/2010 26.8
5/6/2010 32.3
4/29/2010 30
4/22/2010 27.62
4/15/2010 21.82
4/8/2010 26.79
4/1/2010 27.54
3/25/2010 32.95
3/18/2010 34.76
3/11/2010 29.41
3/4/2010 37.93
2/25/2010 35.57
2/18/2010 28.93
2/11/2010 21.37
2/4/2010 27.69
1/28/2010 28.33
1/21/2010 25.26
1/14/2010 25.64
1/7/2010 33
12/31/2009 27.87
12/24/2009 24.64
12/17/2009 29.47
12/10/2009 21.95
12/3/2009 24.75
11/26/2009 16.66
11/19/2009 25.45
11/12/2009 22.8
11/5/2009 22.22
10/29/2009 24.04
10/22/2009 23.81
