"Date" "Mid Price"
2015-11-27 92.1266
2015-11-25 93.8825
2015-11-24 93.7908
2015-11-23 92.5208
2015-11-20 92.2425
2015-11-19 92.1723
2015-11-18 92.0519
2015-11-17 91.7428
2015-11-16 92.6708
2015-11-13 92.7234
2015-11-12 93.8713
2015-11-10 96.6122
2015-11-09 96.8084
2015-11-06 97.8186
2015-11-05 98.5844
2015-11-04 99.8183
2015-11-03 102.0722
2015-11-02 99.9778
2015-10-30 100.7844
2015-10-29 99.9521
2015-10-28 100.2667
2015-10-27 97.4
2015-10-26 98.3455
2015-10-23 99.0224
2015-10-22 99.8175
2015-10-21 99.5929
2015-10-20 100.5874
2015-10-19 100.275
2015-10-16 102.3819
2015-10-15 101.6543
2015-10-14 102.1009
2015-10-13 102.2112
2015-10-09 105.6023
2015-10-08 105.3681
2015-10-07 104.0099
2015-10-06 104.6818
2015-10-05 101.638
2015-10-02 100.1315
2015-10-01 99.69
2015-09-30 100.4256
2015-09-29 100.2389
2015-09-28 99.409
2015-09-25 101.1737
2015-09-24 100.1387
2015-09-23 99.8448
2015-09-22 101.2471
2015-09-21 101.8919
2015-09-18 99.9387
2015-09-17 102.2211
2015-09-16 102.9512
2015-09-15 100.7333
2015-09-14 100.5029
2015-09-11 101.7263
2015-09-10 102.7533
2015-09-09 101.0581
2015-09-08 103.1536
2015-09-04 102.6614
2015-09-03 103.9853
2015-09-02 103.1483
2015-09-01 102.4518
2015-08-31 107.1539
2015-08-28 102.8782
2015-08-27 99.4932
2015-08-26 94.3969
2015-08-25 95.5903
2015-08-24 94.7844
2015-08-21 97.9424
2015-08-20 99.9375
2015-08-19 99.8211
2015-08-18 101.9268
2015-08-17 101.9634
2015-08-14 102.7001
2015-08-13 102.8837
2015-08-12 103.5656
2015-08-11 103.4353
2015-08-10 105.7521
2015-08-07 103.117
2015-08-06 103.7045
2015-08-05 104.2204
2015-08-04 104.7912
2015-08-03 104.0376
2015-07-31 106.777
2015-07-30 108.2633
2015-07-29 108.5749
2015-07-28 108.2311
2015-07-27 107.4182
2015-07-24 109.107
2015-07-23 110.3399
2015-07-22 111.5651
2015-07-21 113.1201
2015-07-20 112.908
2015-07-17 114.2119
2015-07-16 114.6118
2015-07-15 115.0915
2015-07-14 117.0509
2015-07-13 116.7343
2015-07-10 117.2092
2015-07-09 117.1666
2015-07-08 115.4679
2015-07-07 115.5025
2015-07-06 116.4229
2015-07-02 122.44
2015-07-01 122.1211
2015-06-30 124.3953
2015-06-29 121.8312
2015-06-26 122.9976
2015-06-25 122.5524
2015-06-24 122.8337
2015-06-23 123.8585
2015-06-22 122.2661
