dates.22.584.,X1,pred...1.,pred...2.,actual
4/26/2013,0.387178179,0.068533318,0.432965738,2.787440026
4/27/2013,0.282598641,0.102480028,0.304592026,-0.888603559
4/29/2013,0.192333494,-0.092770197,0.21684527,0.990105047
4/30/2013,-0.024376552,0.007015965,-0.046993482,0.295253311
5/2/2013,0.154118976,-0.02989055,0.162226837,-1.167480184
5/3/2013,-0.229119609,-0.107582514,-0.244583632,1.31787338
5/4/2013,0.062090138,0.024425127,0.06088229,0.395108816
5/6/2013,0.184995829,-0.024586802,0.215226906,0.00704875
5/7/2013,-0.042947572,-0.045198314,-0.033343384,-1.299527112
5/8/2013,0.052783864,-0.114596085,0.104415317,0.389877117
5/9/2013,0.090966494,-0.02486468,0.154267698,0.284946901
5/10/2013,-0.109292232,-0.030437967,-0.075739061,-1.341969389
5/11/2013,-0.247575378,-0.116850374,-0.256545773,0.969537263
5/13/2013,0.021698899,0.005923523,0.018179357,-0.746519934
5/14/2013,-0.339781128,-0.085223534,-0.410854384,-0.490617935
5/15/2013,-0.056040872,-0.071631497,-0.076937143,-2.32698811
5/16/2013,-0.366964977,-0.169168885,-0.399585409,-1.987223811
5/17/2013,-0.294505131,-0.151122566,-0.299026655,-0.280164381
5/18/2013,0.111362546,-0.060453418,0.112268836,-1.186056469
5/20/2013,-0.337952756,-0.108569179,-0.371115802,-1.880012023
5/21/2013,0.217096357,-0.145428094,0.24004353,3.257215052
5/22/2013,0.231093857,0.127431767,0.231668559,-0.033679136
5/23/2013,-0.255208786,-0.047361544,-0.308032264,-0.7884883
5/24/2013,-0.218663597,-0.087452652,-0.232635734,0.584398447
5/25/2013,0.156457504,-0.014532829,0.173895008,-0.50580491
5/27/2013,-0.230445807,-0.072438141,-0.246677639,0.928606664
5/28/2013,-0.297092434,0.003749525,-0.353899638,-0.724373893
5/29/2013,-0.286777319,-0.084047264,-0.336776878,-0.37444786
5/30/2013,0.002244802,-0.065461212,-0.001999026,1.402188827
5/31/2013,0.102018377,0.028903477,0.092403725,-0.383446893
6/1/2013,-0.220728325,-0.065939189,-0.245717395,-1.455206641
6/3/2013,-0.232055744,-0.122864883,-0.240351539,1.155555713
6/4/2013,0.241567592,0.015803749,0.248847888,0.256708817
6/5/2013,0.317494116,-0.031937811,0.352665037,-0.052706759
6/6/2013,0.197841288,-0.048372182,0.236393703,-0.07756044
6/7/2013,-0.086738172,-0.049692266,-0.091574155,-0.667283041
6/8/2013,-0.165913884,-0.081014928,-0.183777416,-3.349946219
6/10/2013,-0.432949779,-0.223502517,-0.437199512,0.564263377
6/11/2013,0.005216149,-0.015602288,-0.002134086,-0.042232444
6/12/2013,-0.089628933,-0.047815846,-0.089517905,0.027544921
6/13/2013,-0.036822228,-0.044109675,-0.074549086,0.064700716
6/14/2013,0.081682369,-0.042136174,0.104517913,0.436209202
6/15/2013,-0.09856119,-0.022403787,-0.121825186,0.85180824
6/17/2013,0.004845991,-0.000329564,0.008731222,-0.621883229
6/18/2013,-0.321095882,-0.078603552,-0.368842307,-0.679896817
6/19/2013,-0.441672436,-0.081684899,-0.494676496,-0.612514944
6/20/2013,-0.638448901,-0.078105962,-0.750174312,-5.358060413
6/21/2013,-0.970161142,-0.330161957,-1.026973665,-3.317398627
6/22/2013,-0.602474397,-0.221773777,-0.637739858,1.273609436
6/24/2013,-0.443232924,0.022074082,-0.477573956,-1.527160162
6/25/2013,-0.425731335,-0.126686639,-0.461551092,-0.654737267
6/26/2013,-0.330254593,-0.080348569,-0.356444757,-3.835093434
6/27/2013,-0.724889433,-0.249270738,-0.762718676,-1.151607519
6/28/2013,-0.236323831,-0.106739449,-0.24220458,1.077146761
6/29/2013,0.310895309,0.011639118,0.368335987,3.849080102
7/2/2013,0.627595865,0.158868224,0.681533179,-0.418880224
7/3/2013,-0.043529929,-0.067821203,-0.022276574,-0.034688391
7/4/2013,-0.027933606,-0.04741515,-0.034853368,0.213041476
7/5/2013,-0.186757674,-0.034257169,-0.215764201,-2.388088602
7/6/2013,-0.358113096,-0.17241419,-0.388024628,-1.393542212
7/8/2013,-0.0579502,-0.119589624,-0.021960338,0.428424352
7/9/2013,0.101383757,-0.022817273,0.158956794,1.324778991
